birth,death
7.736413955688477,8.005749702453613
7.4074931144714355,7.804484844207764
6.916489601135254,7.379241943359375
6.753245830535889,6.878381729125977
6.19762659072876,7.9324259757995605
6.164125442504883,6.337578773498535
5.361802577972412,5.809223651885986
5.35437536239624,5.5473551750183105
4.942954063415527,5.019073009490967
4.91484260559082,5.864405155181885
4.872488498687744,5.552933692932129
4.712701797485352,4.723292350769043
4.565919876098633,5.205841541290283
4.506505012512207,4.785451412200928
4.490975379943848,4.704384803771973
4.469763278961182,4.651574611663818
4.4006500244140625,4.578577518463135
4.28295373916626,4.372259616851807
4.241997241973877,4.368309497833252
4.2234392166137695,4.590127944946289
4.213999271392822,4.418964385986328
4.098500728607178,4.188355445861816
4.089900493621826,4.111728668212891
4.017476558685303,4.253071308135986
4.015632152557373,4.116495132446289
4.001885890960693,4.090338230133057
3.9971652030944824,4.044304370880127
3.9790267944335938,4.148561000823975
3.949402093887329,4.055647850036621
3.9179611206054688,4.026966094970703
3.8929853439331055,4.290050029754639
3.823519468307495,4.04700231552124
3.808868169784546,4.517012119293213
3.7535200119018555,4.204929351806641
3.7382774353027344,3.8327062129974365
3.709644317626953,4.395566463470459
3.70296573638916,4.719581604003906
3.6896703243255615,3.7796127796173096
3.6868855953216553,3.92848801612854
3.6838507652282715,3.8154032230377197
3.64223051071167,4.425535678863525
3.63124942779541,3.6710524559020996
3.6164796352386475,3.7473866939544678
3.59637451171875,4.092172622680664
3.5783121585845947,3.7276554107666016
3.5671772956848145,3.719517230987549
3.5543265342712402,4.043915748596191
3.5475988388061523,4.217741012573242
3.530233383178711,3.780700445175171
3.5295660495758057,3.8685574531555176
3.519335985183716,3.7192938327789307
3.5046908855438232,3.9680891036987305
3.495378255844116,3.5753417015075684
3.4923999309539795,3.8157644271850586
3.489891767501831,3.9767799377441406
3.4791784286499023,3.4807872772216797
3.4790074825286865,3.6023881435394287
3.4753105640411377,3.5409321784973145
3.47165846824646,3.6247384548187256
3.4372222423553467,3.690957546234131
3.428285837173462,3.5906026363372803
3.4231722354888916,4.037895679473877
3.4088735580444336,3.4947240352630615
3.3976356983184814,3.471266269683838
3.366530179977417,3.7105844020843506
3.3526854515075684,3.9210686683654785
3.3402276039123535,3.34948992729187
3.3372344970703125,3.3422858715057373
3.330110788345337,3.536634922027588
3.308397054672241,3.773648738861084
3.2927534580230713,3.4322941303253174
3.2921810150146484,3.416534185409546
3.280196189880371,3.362454891204834
3.2708849906921387,3.7235004901885986
3.269144058227539,3.5028600692749023
3.2676045894622803,3.7256052494049072
3.2575552463531494,3.437934637069702
3.2560713291168213,4.072974681854248
3.249143600463867,4.483521938323975
3.245961904525757,3.2805042266845703
3.2266807556152344,3.482022762298584
3.2144646644592285,3.2433619499206543
3.2087907791137695,3.5913443565368652
3.200939178466797,3.6892929077148438
3.195068120956421,3.2415153980255127
3.19337797164917,3.5685575008392334
3.190898895263672,3.2857344150543213
3.1751739978790283,3.692674160003662
3.157667875289917,3.308223247528076
3.148224353790283,3.7781755924224854
3.1435866355895996,3.462425947189331
3.135310173034668,3.163496971130371
3.1246962547302246,3.188634157180786
3.0975403785705566,3.358361005783081
3.0939300060272217,3.703970193862915
3.0932819843292236,3.0979197025299072
3.080493211746216,3.2214465141296387
3.072467803955078,3.218968152999878
3.058537244796753,3.1160428524017334
3.056797504425049,3.2342092990875244
3.056727647781372,3.5949506759643555
3.0331645011901855,3.405261278152466
3.0115432739257812,3.188634157180786
2.9934163093566895,3.0179076194763184
2.9927361011505127,3.3901803493499756
2.9741876125335693,3.518151044845581
2.9520440101623535,2.9602413177490234
2.918790817260742,2.925226926803589
2.907613754272461,3.109689950942993
2.904411792755127,3.249343156814575
2.90075945854187,3.369358539581299
2.8730897903442383,3.568132162094116
2.8616256713867188,2.901402711868286
2.8604485988616943,3.083333730697632
2.8471765518188477,3.1478347778320312
2.838472366333008,3.4674642086029053
2.829167366027832,3.014197826385498
2.8139095306396484,2.92875337600708
2.81343674659729,2.9753501415252686
2.7828314304351807,2.925226926803589
2.7766311168670654,2.912654399871826
2.7764201164245605,3.38032603263855
2.7748630046844482,2.831843852996826
2.7727105617523193,2.881788730621338
2.7558093070983887,2.816154718399048
2.7509429454803467,3.172696352005005
2.745952606201172,3.314980983734131
2.7408618927001953,3.2476844787597656
2.7393805980682373,2.9969594478607178
2.72611665725708,2.9479637145996094
2.719874858856201,3.0013267993927
2.716715097427368,2.9061264991760254
2.708747625350952,2.8141088485717773
2.694998025894165,2.9522109031677246
2.6882994174957275,2.9403088092803955
2.681406021118164,2.997051477432251
2.6793758869171143,2.6928398609161377
2.6783158779144287,3.1373860836029053
2.6736321449279785,2.8610188961029053
2.6653716564178467,3.063359498977661
2.6583635807037354,3.3112528324127197
2.6581485271453857,3.0931155681610107
2.646941900253296,2.8623275756835938
2.6393702030181885,3.0266923904418945
2.629667282104492,2.731779098510742
2.6257026195526123,3.065964698791504
2.619739532470703,3.0619828701019287
2.618441581726074,3.3505775928497314
2.6144957542419434,3.1056084632873535
2.6127002239227295,3.104632616043091
2.609727621078491,2.816741704940796
2.6080968379974365,3.2210144996643066
2.598757028579712,3.150446891784668
2.598703384399414,3.4751203060150146
2.596489667892456,2.659975290298462
2.5929365158081055,2.623575210571289
2.591787815093994,2.9935293197631836
2.5907132625579834,2.8730275630950928
2.5840835571289062,2.7142088413238525
2.5792715549468994,2.7134881019592285
2.577120065689087,2.7610254287719727
2.5691721439361572,2.767160654067993
2.563006639480591,2.6190507411956787
2.562742233276367,2.686378002166748
2.560645580291748,2.6989121437072754
2.559965133666992,2.647325277328491
2.5549402236938477,3.416304111480713
2.551270008087158,2.7693982124328613
2.548288583755493,3.1107828617095947
2.547793388366699,3.199798107147217
2.543433666229248,2.723397970199585
2.5153250694274902,2.9227945804595947
2.4874918460845947,2.7311201095581055
2.4864659309387207,2.592355489730835
2.47383189201355,3.2683067321777344
2.453117609024048,3.1929826736450195
2.445530652999878,2.9732089042663574
2.4396023750305176,2.5123002529144287
2.439487934112549,3.350172996520996
2.436769723892212,2.935474157333374
2.390242338180542,2.4901230335235596
2.3867735862731934,3.2663612365722656
2.3713936805725098,2.7981760501861572
2.349562406539917,2.453552484512329
2.3465867042541504,2.415030002593994
2.3398232460021973,2.394704580307007
2.314089298248291,2.5289058685302734
2.313582181930542,2.6505696773529053
2.309098720550537,2.6210405826568604
2.307832956314087,2.440969705581665
2.293401002883911,2.8937127590179443
2.2717292308807373,2.328873872756958
2.2698755264282227,2.5696094036102295
2.268702507019043,2.43176531791687
2.2591702938079834,2.579986095428467
2.2472732067108154,3.015836000442505
2.2320573329925537,2.8483829498291016
2.229182720184326,2.29702091217041
2.223640203475952,2.5429935455322266
2.2169559001922607,2.418292760848999
2.2157793045043945,2.242231607437134
2.2128257751464844,2.3097894191741943
2.203822612762451,2.598816156387329
2.1783533096313477,2.411289691925049
2.1750760078430176,2.6977827548980713
2.1747238636016846,2.555628776550293
2.1731271743774414,2.7693982124328613
2.1705870628356934,2.725991725921631
2.1692562103271484,2.7843594551086426
2.168610095977783,2.566444158554077
2.1609294414520264,2.2894911766052246
2.1599161624908447,2.363515853881836
2.1385343074798584,2.668447971343994
2.122316598892212,2.61195969581604
2.0973289012908936,2.1838202476501465
2.0862302780151367,2.178464889526367
2.0816009044647217,2.444077730178833
2.061925172805786,2.2747297286987305
2.061354160308838,2.3851583003997803
2.046109199523926,2.101414203643799
2.037304639816284,2.3070685863494873
1.983602523803711,2.1319713592529297
1.957987666130066,2.1626522541046143
1.8413169384002686,2.242231607437134
1.829693078994751,2.0315916538238525
1.6445801258087158,1.6962794065475464
1.6393883228302002,2.034064531326294
1.6246936321258545,1.8315225839614868
1.6087172031402588,1.613999843597412
1.3547627925872803,1.5041404962539673
